QID,word1,word2,sim,rel
1,mızrap,barınak,0.166666667,0.083333333
2,kırmızı,gül,1.166666667,7.166666667
3,suçlu,şüphe,2.416666667,7
4,laikçiler,sekülerizmciler,9,9.416666667
5,bitki,zeytin,3.666666667,6.75
6,serin,soğuk,7.25,8.833333333
7,gül,pamuk,2.083333333,3.583333333
8,içki,alkol,7.75,9.083333333
9,köle,serbest,0.333333333,6.5
10,saray,pıhtı,0.333333333,0.166666667
11,affedişi,bağışlayışı,9.083333333,9
12,sofra,zeytin,1.75,7.166666667
13,eşya,gözlük,2.333333333,6
14,meslek,mühendis,2.416666667,6.916666667
15,savunmaktaydılar,korumaktaydılar,8.166666667,8.5
16,peynir,ipek,0.833333333,0.5
17,turizm,seyahat,4.5,8.25
18,tıknaz,uyumlu,0.166666667,0.833333333
19,kemalci,atatürkist,8.75,9.636363636
20,polis,yardım,3.333333333,7.583333333
21,gürültü,otobüs,0.916666667,5
22,temiz,titiz,7.833333333,9.166666667
23,kitaplıklar,kitap,3.5,8.75
24,böcek,karınca,3.5,7.333333333
25,gazete,kitap,4.916666667,7.166666667
26,okul,kordon,0.25,1.083333333
27,ibadet,oruç,5.416666667,8.25
28,varlık,hayvan,2.416666667,5.5
29,tüketim,üretim,0.25,8.5
30,sihirbaz,büyücü,7.583333333,7.333333333
31,giysi,gömlek,4.333333333,7.416666667
32,hayvan,tavuk,3.333333333,7.25
33,sevgili,çiçek,1.166666667,6.5
34,turizm,ekonomi,2,5.833333333
35,eski,yeni,0.166666667,9
36,yüzük,sevgili,1.416666667,6.083333333
37,primatçaları,maymunsuları,6.333333333,8.166666667
38,bilimci,faiz,0.25,0.333333333
39,gündüz,öğle,4.5,8.166666667
40,otomobil,taksi,5.833333333,8.583333333
41,çare,sos,1,1.25
42,evrensel,sos,0.583333333,0.916666667
43,viski,varlık,0.833333333,0.833333333
44,alacaklanmak,tabure,0.25,0.083333333
45,sebze,enginar,3.583333333,7.25
46,damar,rahatsız,0.583333333,3.75
47,öğrenci,yağcılık,0.416666667,4
48,bitki,sebze,3.666666667,7.333333333
49,zarar,tımarhane,0.333333333,1.083333333
50,kelebek,eski,0.166666667,0.083333333
51,zaman,gündüz,2.5,7.166666667
52,meslek,polis,2.833333333,7.083333333
53,su,yağmur,4.25,8
54,nefes,soyut,0.666666667,0.833333333
55,yedigen,aykırı,0.25,0.416666667
56,titiz,pimpirikli,6.25,6.833333333
57,fotoğraf,karton,1,3.833333333
58,tutsak,serbest,0.25,8.416666667
59,fazlalık,ısınmış,0.166666667,1.333333333
60,laikçiler,tepe,0.25,0.454545455
61,suçlu,bağışlayışı,0.416666667,6.25
62,serbest,radyo,0.166666667,1.727272727
63,uzun,tıknaz,0.166666667,4.333333333
64,kan,pıhtı,2.916666667,7.833333333
65,delilim,ispatım,9.166666667,9.5
66,erkekçene,eksik,0.166666667,0.5
67,delilim,deli,0.666666667,0.833333333
68,üşengeç,üşengen,8.25,7.833333333
69,gül,dostçasına,0.25,2.083333333
70,kum,karınca,1.166666667,4.5
71,tutsak,köle,7,9.25
72,kazanç,aykırı,0.166666667,0.666666667
73,içki,viski,4.25,8.583333333
74,üşengen,yedigen,0.166666667,0.25
75,mutfak,kahvaltı,2,7.083333333
76,çamaşır,külot,4.75,8
77,yorgun,yorgunluk,4.916666667,8.916666667
78,transparan,kemik,0.166666667,0.583333333
79,muz,yoğurt,1.166666667,3.416666667
80,damar,kan,2.333333333,8.416666667
81,ilkellik,cenin,0.333333333,1.416666667
82,temiz,kirlice,0.25,7.333333333
83,modernite,öncülük,1.916666667,5.333333333
84,peşinatsız,borçlanmak,1.416666667,6
85,öğrenci,kitap,1.416666667,7.333333333
86,mühendis,bilişim,2.333333333,6.833333333
87,zeki,çocuk,0.833333333,5.25
88,avare,başıboş,8.416666667,9.25
89,tren,inançlılık,0.166666667,0.166666667
90,mücevher,şahane,0.5,2.75
91,başladılarsa,bitirdilerse,0.083333333,7.916666667
92,keşiş,köle,0.583333333,1.833333333
93,palto,ceket,6.75,8
94,oksijen,su,2,7.666666667
95,taşıt,tren,3.583333333,8.166666667
96,kıyı,tepe,0.916666667,4.083333333
97,adalet,vicdan,2.833333333,6.5
98,rahatsız,alışkın,0.166666667,4.416666667
99,kavramsallaştırsın,soyut,1,4.818181818
100,hayat,fani,1.583333333,7.083333333
101,ıslak,deniz,1.833333333,6.666666667
102,kitaplıklar,kitaphane,7.166666667,8.416666667
103,din,vicdan,1.75,5.416666667
104,brüt,çamaşır,0.25,0.083333333
105,tıknaz,şiddetli,0.333333333,0.166666667
106,yüreklicesine,gevşek,0.166666667,0.25
107,cenin,kuyumcu,0.166666667,0.083333333
108,gözlükçü,gözlük,2.75,8.75
109,affedişi,cezalandırışı,0.166666667,7.166666667
110,bilişim,sebze,0.25,0.166666667
111,iktidarcılar,sabahlardaki,0.166666667,0.166666667
112,cinayetindeki,asosyalleştirdikleri,0.166666667,0.25
113,zarar,kazanç,0.083333333,8.416666667
114,kuş,turna,3.333333333,7.833333333
115,brüt,kesintili,0.333333333,6.363636364
