,engWord1,engWord2,simEng,word1,word2,sim,simPredict
0,cord,smile,0.005,kordon,gülümseme,0.005,0.10696089
1,rooster,voyage,0.01,horoz,seyahat,0.01,0.09800979
2,noon,string,0.01,öğlen,ip,0.01,-0.070394866
3,fruit,furnace,0.0125,meyve,fırın,0.0125,0.21846388
4,autograph,shore,0.015,imza,sahil,0.015,0.18611753
5,automobile,wizard,0.0275,otomobil,sihirbaz,0.0275,0.15732428
6,mound,stove,0.035,höyük,soba,0.035,0.13247333
7,grin,implement,0.045,sırıtma,uygulama,0.045,0.2657929
8,asylum,fruit,0.0475,sığınak,meyve,0.0475,0.15084288
9,asylum,monk,0.0975,sığınak,keşiş,0.0975,0.16273105
10,graveyard,madhouse,0.105,mezarlık,tımarhane,0.105,0.30586323
11,glass,magician,0.11,cam,sihirbaz,0.11,0.15920776
12,boy,rooster,0.11,oğlan,horoz,0.11,0.3549012
13,cushion,jewel,0.1125,yastık,mücevher,0.1125,0.31965658
14,monk,slave,0.1425,keşiş,köle,0.1425,0.3135945
15,asylum,cemetery,0.1975,sığınak,mezarlık,0.1975,0.4150837
16,coast,forest,0.2125,sahil,orman,0.2125,0.46317643
17,grin,lad,0.22,sırıtış,delikanlı,0.22,0.25332153
18,shore,woodland,0.225,kıyı,ormanlık,0.225,0.37376842
19,monk,oracle,0.2275,keşiş,kahin,0.2275,0.39155164
20,boy,sage,0.24,erkek,bilge,0.24,0.32905632
21,automobile,cushion,0.2425,otomobil,yastık,0.2425,0.22034873
22,mound,shore,0.2425,höyük,kıyı,0.2425,0.21229436
23,lad,wizard,0.2475,delikanlı,sihirbaz,0.2475,0.30699155
24,forest,graveyard,0.25,orman,mezarlık,0.25,0.41654745
25,food,rooster,0.2725,yemek,horoz,0.2725,0.23643376
26,cemetery,woodland,0.295,mezarlık,ormanlık,0.295,0.42981207
27,shore,voyage,0.305,kıyı,yolculuk,0.305,0.2358866
28,bird,woodland,0.31,kuş,ormanlık,0.31,0.22855647
29,coast,hill,0.315,sahil,tepe,0.315,0.29889253
30,furnace,implement,0.3425,fırın,alet,0.3425,0.2661093
31,crane,rooster,0.3525,turna,horoz,0.3525,0.30703056
32,hill,woodland,0.37,tepe,ormanlık,0.37,0.32216552
33,car,journey,0.3875,araba,yolculuk,0.3875,0.41500863
34,cemetery,mound,0.4225,mezarlık,höyük,0.4225,0.49186608
35,glass,jewel,0.445,cam,mücevher,0.445,0.3941875
36,magician,oracle,0.455,büyücü,kahin,0.455,0.56585824
37,crane,implement,0.5925,vinç,uygulama,0.5925,0.23064575
38,brother,lad,0.6025,kardeş,delikanlı,0.6025,0.3597559
39,sage,wizard,0.615,bilge,sihirbaz,0.615,0.42343372
40,oracle,sage,0.6525,kahin,bilge,0.6525,0.4447814
41,bird,crane,0.6575,kuş,turna,0.6575,0.5760087
42,bird,cock,0.6575,kuş,horoz,0.6575,0.3950741
43,food,fruit,0.6725,gıda,meyve,0.6725,0.5000844
44,brother,monk,0.685,kardeş,keşiş,0.685,0.18057695
45,asylum,madhouse,0.76,sığınak,tımarhane,0.76,0.27020448
46,furnace,stove,0.7775,fırın,soba,0.7775,0.4803527
47,magician,wizard,0.8025,sihirbaz,büyücü,0.8025,0.59965456
48,hill,mound,0.8225,tepe,höyük,0.8225,0.40975437
49,cord,string,0.8525,kordon,ip,0.8525,0.22929394
50,glass,tumbler,0.8625,cam,bardak,0.8625,0.48482525
51,grin,smile,0.865,sırıtma,gülümseme,0.865,0.63116163
52,serf,slave,0.865,kul,köle,0.865,0.5175109
53,journey,voyage,0.895,seyahat,yolculuk,0.895,0.7452696
54,autograph,signature,0.8975,imza,imza,0.25,0.99999994
55,coast,shore,0.9,sahil,kıyı,0.9,0.767649
56,forest,woodland,0.9125,orman,ormanlık,0.9125,0.64870584
57,implement,tool,0.915,alet,araç,0.915,0.4425409
58,cock,rooster,0.92,horoz,horoz,0.25,0.99999994
59,boy,lad,0.955,oğlan,delikanlı,0.955,0.60700405
60,cushion,pillow,0.96,yastık,yastık,0.25,1.0
61,cemetery,graveyard,0.97,kabristan,mezarlık,0.97,0.72205865
62,automobile,car,0.98,otomobil,araba,0.98,0.6928553
63,midday,noon,0.985,öğlen,öğlen,0.25,1.0
64,gem,jewel,0.985,takı,mücevher,0.985,0.6840215
