,engWord1,engWord2,simEng,word1,word2,sim,simPredict
0,cord,smile,0.005,kordon,gülümseme,0.005,0.23607780039310455
1,rooster,voyage,0.01,horoz,seyahat,0.01,0.014506214298307896
2,noon,string,0.01,öğlen,ip,0.01,0.24261753261089325
3,fruit,furnace,0.0125,meyve,fırın,0.0125,0.4251672327518463
4,autograph,shore,0.015,imza,sahil,0.015,-0.10217161476612091
5,automobile,wizard,0.0275,otomobil,sihirbaz,0.0275,0.08500697463750839
6,mound,stove,0.035,höyük,soba,0.035,0.13580231368541718
8,asylum,fruit,0.0475,sığınak,meyve,0.0475,0.18683786690235138
9,asylum,monk,0.0975,sığınak,keşiş,0.0975,0.3204694986343384
10,graveyard,madhouse,0.105,mezarlık,tımarhane,0.105,0.18742680549621582
11,glass,magician,0.11,cam,sihirbaz,0.11,0.09322337806224823
12,boy,rooster,0.11,oğlan,horoz,0.11,0.49450382590293884
13,cushion,jewel,0.1125,yastık,mücevher,0.1125,0.48952051997184753
14,monk,slave,0.1425,keşiş,köle,0.1425,0.3678956627845764
15,asylum,cemetery,0.1975,sığınak,mezarlık,0.1975,0.4893653094768524
16,coast,forest,0.2125,sahil,orman,0.2125,0.4177619218826294
18,shore,woodland,0.225,kıyı,ormanlık,0.225,0.5444545149803162
19,monk,oracle,0.2275,keşiş,kahin,0.2275,0.4993651807308197
20,boy,sage,0.24,erkek,bilge,0.24,0.1114126667380333
21,automobile,cushion,0.2425,otomobil,yastık,0.2425,0.07542838901281357
22,mound,shore,0.2425,höyük,kıyı,0.2425,0.19794009625911713
23,lad,wizard,0.2475,delikanlı,sihirbaz,0.2475,0.5142144560813904
24,forest,graveyard,0.25,orman,mezarlık,0.25,0.34994402527809143
25,food,rooster,0.2725,yemek,horoz,0.2725,0.2285730540752411
26,cemetery,woodland,0.295,mezarlık,ormanlık,0.295,0.45998215675354004
27,shore,voyage,0.305,kıyı,yolculuk,0.305,0.14214155077934265
28,bird,woodland,0.31,kuş,ormanlık,0.31,0.2970374524593353
29,coast,hill,0.315,sahil,tepe,0.315,0.26599061489105225
30,furnace,implement,0.3425,fırın,alet,0.3425,0.4493703544139862
31,crane,rooster,0.3525,turna,horoz,0.3525,0.5766931176185608
32,hill,woodland,0.37,tepe,ormanlık,0.37,0.31294044852256775
33,car,journey,0.3875,araba,yolculuk,0.3875,0.26439183950424194
34,cemetery,mound,0.4225,mezarlık,höyük,0.4225,0.48275014758110046
35,glass,jewel,0.445,cam,mücevher,0.445,0.4771968424320221
36,magician,oracle,0.455,büyücü,kahin,0.455,0.6331765055656433
37,crane,implement,0.5925,vinç,uygulama,0.5925,0.23986764252185822
38,brother,lad,0.6025,kardeş,delikanlı,0.6025,0.19679853320121765
39,sage,wizard,0.615,bilge,sihirbaz,0.615,0.30260559916496277
40,oracle,sage,0.6525,kahin,bilge,0.6525,0.3297593891620636
41,bird,crane,0.6575,kuş,turna,0.6575,0.519737720489502
42,bird,cock,0.6575,kuş,horoz,0.6575,0.3454834520816803
43,food,fruit,0.6725,gıda,meyve,0.6725,0.41243976354599
44,brother,monk,0.685,kardeş,keşiş,0.685,0.07997915893793106
45,asylum,madhouse,0.76,sığınak,tımarhane,0.76,0.21804015338420868
46,furnace,stove,0.7775,fırın,soba,0.7775,0.7210702896118164
47,magician,wizard,0.8025,sihirbaz,büyücü,0.8025,0.6320280432701111
48,hill,mound,0.8225,tepe,höyük,0.8225,0.4135271906852722
49,cord,string,0.8525,kordon,ip,0.8525,0.38884681463241577
50,glass,tumbler,0.8625,cam,bardak,0.8625,0.37913769483566284
52,serf,slave,0.865,kul,köle,0.865,0.26114973425865173
53,journey,voyage,0.895,seyahat,yolculuk,0.895,0.6335391998291016
54,autograph,signature,0.8975,imza,imza,0.25,1.0
55,coast,shore,0.9,sahil,kıyı,0.9,0.7725463509559631
56,forest,woodland,0.9125,orman,ormanlık,0.9125,0.5496721863746643
57,implement,tool,0.915,alet,araç,0.915,0.5047398805618286
58,cock,rooster,0.92,horoz,horoz,0.25,1.0
59,boy,lad,0.955,oğlan,delikanlı,0.955,0.7010228633880615
60,cushion,pillow,0.96,yastık,yastık,0.25,0.9999999403953552
61,cemetery,graveyard,0.97,kabristan,mezarlık,0.97,0.5328977108001709
62,automobile,car,0.98,otomobil,araba,0.98,0.6252009272575378
63,midday,noon,0.985,öğlen,öğlen,0.25,0.9999999403953552
64,gem,jewel,0.985,takı,mücevher,0.985,0.6196922659873962
