,QID,word1,word2,rel,sim,simPredict
0,1,mızrap,barınak,0.008333333299999999,0.008333333299999999,0.07287103682756424
1,2,kırmızı,gül,0.7166666667,0.7166666667,0.41595321893692017
2,3,suçlu,şüphe,0.7,0.7,0.3370394706726074
4,5,bitki,zeytin,0.675,0.675,0.4446389973163605
5,6,serin,soğuk,0.8833333333000001,0.8833333333000001,0.5509263873100281
6,7,gül,pamuk,0.3583333333,0.3583333333,0.43396201729774475
7,8,içki,alkol,0.9083333333000001,0.9083333333000001,0.7564006447792053
8,9,köle,serbest,0.65,0.65,0.3356758654117584
9,10,saray,pıhtı,0.0166666667,0.0166666667,0.04402533546090126
11,12,sofra,zeytin,0.7166666667,0.7166666667,0.31671789288520813
12,13,eşya,gözlük,0.6,0.6,0.3605325520038605
13,14,meslek,mühendis,0.6916666667,0.6916666667,0.40349993109703064
15,16,peynir,ipek,0.05,0.05,0.27518537640571594
16,17,turizm,seyahat,0.825,0.825,0.5123326778411865
17,18,tıknaz,uyumlu,0.0833333333,0.0833333333,0.2053917944431305
19,20,polis,yardım,0.7583333333,0.7583333333,0.25599783658981323
20,21,gürültü,otobüs,0.5,0.5,0.19511984288692474
21,22,temiz,titiz,0.9166666667,0.9166666667,0.4413442313671112
22,23,kitaplıklar,kitap,0.875,0.875,0.4867796003818512
23,24,böcek,karınca,0.7333333333,0.7333333333,0.4776923954486847
24,25,gazete,kitap,0.7166666667,0.7166666667,0.45434895157814026
25,26,okul,kordon,0.10833333329999999,0.10833333329999999,0.12779419124126434
26,27,ibadet,oruç,0.825,0.825,0.4725951850414276
27,28,varlık,hayvan,0.55,0.55,0.4179859757423401
28,29,tüketim,üretim,0.85,0.85,0.658759593963623
29,30,sihirbaz,büyücü,0.7333333333,0.7333333333,0.5996545553207397
30,31,giysi,gömlek,0.7416666667,0.7416666667,0.581863522529602
31,32,hayvan,tavuk,0.725,0.725,0.5403865575790405
32,33,sevgili,çiçek,0.65,0.65,0.24069541692733765
33,34,turizm,ekonomi,0.5833333332999999,0.5833333332999999,0.5413986444473267
34,35,eski,yeni,0.9,0.9,0.5611546039581299
35,36,yüzük,sevgili,0.6083333333,0.6083333333,0.23238688707351685
37,38,bilimci,faiz,0.033333333300000004,0.033333333300000004,0.0704464390873909
38,39,gündüz,öğle,0.8166666667,0.8166666667,0.4551084339618683
39,40,otomobil,taksi,0.8583333333000001,0.8583333333000001,0.4778035283088684
