,QID,word1,word2,rel,sim,simPredict
0,1,mızrap,barınak,0.008333333299999999,0.008333333299999999,0.024484960362315178
1,2,kırmızı,gül,0.7166666667,0.7166666667,0.386807918548584
2,3,suçlu,şüphe,0.7,0.7,0.2932931184768677
4,5,bitki,zeytin,0.675,0.675,0.3773343861103058
5,6,serin,soğuk,0.8833333333000001,0.8833333333000001,0.6751143336296082
6,7,gül,pamuk,0.3583333333,0.3583333333,0.4077259302139282
7,8,içki,alkol,0.9083333333000001,0.9083333333000001,0.6898796558380127
8,9,köle,serbest,0.65,0.65,0.22578179836273193
9,10,saray,pıhtı,0.0166666667,0.0166666667,-0.07893319427967072
11,12,sofra,zeytin,0.7166666667,0.7166666667,0.1083420068025589
12,13,eşya,gözlük,0.6,0.6,0.1939048171043396
13,14,meslek,mühendis,0.6916666667,0.6916666667,0.38770100474357605
15,16,peynir,ipek,0.05,0.05,0.1721436232328415
16,17,turizm,seyahat,0.825,0.825,0.5285914540290833
17,18,tıknaz,uyumlu,0.0833333333,0.0833333333,0.0033292886801064014
19,20,polis,yardım,0.7583333333,0.7583333333,0.3107655942440033
20,21,gürültü,otobüs,0.5,0.5,0.08927927911281586
21,22,temiz,titiz,0.9166666667,0.9166666667,0.3720824420452118
22,23,kitaplıklar,kitap,0.875,0.875,0.14844416081905365
23,24,böcek,karınca,0.7333333333,0.7333333333,0.48185276985168457
24,25,gazete,kitap,0.7166666667,0.7166666667,0.4240163564682007
25,26,okul,kordon,0.10833333329999999,0.10833333329999999,-0.0683581531047821
26,27,ibadet,oruç,0.825,0.825,0.4960682988166809
27,28,varlık,hayvan,0.55,0.55,0.24059805274009705
28,29,tüketim,üretim,0.85,0.85,0.5361294746398926
29,30,sihirbaz,büyücü,0.7333333333,0.7333333333,0.5000118017196655
30,31,giysi,gömlek,0.7416666667,0.7416666667,0.5673595070838928
31,32,hayvan,tavuk,0.725,0.725,0.4440663158893585
32,33,sevgili,çiçek,0.65,0.65,0.27506259083747864
33,34,turizm,ekonomi,0.5833333332999999,0.5833333332999999,0.46861952543258667
34,35,eski,yeni,0.9,0.9,0.4875083267688751
35,36,yüzük,sevgili,0.6083333333,0.6083333333,0.2083834409713745
37,38,bilimci,faiz,0.033333333300000004,0.033333333300000004,-0.06149647384881973
38,39,gündüz,öğle,0.8166666667,0.8166666667,0.4022116959095001
39,40,otomobil,taksi,0.8583333333000001,0.8583333333000001,0.3734508752822876
40,41,çare,sos,0.125,0.125,0.019592812284827232
41,42,evrensel,sos,0.0916666667,0.0916666667,-0.021508974954485893
42,43,viski,varlık,0.0833333333,0.0833333333,-0.10434027016162872
44,45,sebze,enginar,0.725,0.725,0.4898836016654968
45,46,damar,rahatsız,0.375,0.375,0.16376446187496185
46,47,öğrenci,yağcılık,0.4,0.4,-0.21075502038002014
47,48,bitki,sebze,0.7333333333,0.7333333333,0.5324031114578247
48,49,zarar,tımarhane,0.10833333329999999,0.10833333329999999,-0.14491763710975647
49,50,kelebek,eski,0.008333333299999999,0.008333333299999999,0.043756842613220215
50,51,zaman,gündüz,0.7166666667,0.7166666667,0.35066381096839905
51,52,meslek,polis,0.7083333332999999,0.7083333332999999,0.21621088683605194
52,53,su,yağmur,0.8,0.8,0.47019678354263306
53,54,nefes,soyut,0.0833333333,0.0833333333,0.09188126772642136
55,56,titiz,pimpirikli,0.6833333333,0.6833333333,0.2508310079574585
56,57,fotoğraf,karton,0.3833333333,0.3833333333,0.18167488276958466
57,58,tutsak,serbest,0.8416666666999999,0.8416666666999999,0.2856026589870453
58,59,fazlalık,ısınmış,0.1333333333,0.1333333333,0.061105143278837204
61,62,serbest,radyo,0.1727272727,0.1727272727,0.16056980192661285
62,63,uzun,tıknaz,0.43333333329999996,0.43333333329999996,0.1084601879119873
63,64,kan,pıhtı,0.7833333333,0.7833333333,0.3423384726047516
69,70,kum,karınca,0.45,0.45,0.14154928922653198
70,71,tutsak,köle,0.925,0.925,0.46108946204185486
71,72,kazanç,aykırı,0.0666666667,0.0666666667,0.16899794340133667
72,73,içki,viski,0.8583333333000001,0.8583333333000001,0.5629026889801025
74,75,mutfak,kahvaltı,0.7083333332999999,0.7083333332999999,0.3510841727256775
75,76,çamaşır,külot,0.8,0.8,0.23935191333293915
76,77,yorgun,yorgunluk,0.8916666666999999,0.8916666666999999,0.5572226047515869
77,78,transparan,kemik,0.0583333333,0.0583333333,0.003657018765807152
78,79,muz,yoğurt,0.3416666667,0.3416666667,0.5530634522438049
79,80,damar,kan,0.8416666666999999,0.8416666666999999,0.5392928719520569
80,81,ilkellik,cenin,0.1416666667,0.1416666667,0.062384918332099915
82,83,modernite,öncülük,0.5333333333,0.5333333333,0.0516618937253952
83,84,peşinatsız,borçlanmak,0.6,0.6,0.13205495476722717
84,85,öğrenci,kitap,0.7333333333,0.7333333333,0.3079276978969574
85,86,mühendis,bilişim,0.6833333333,0.6833333333,0.2960732877254486
86,87,zeki,çocuk,0.525,0.525,0.2977995276451111
87,88,avare,başıboş,0.925,0.925,0.4442594349384308
89,90,mücevher,şahane,0.275,0.275,0.17412859201431274
91,92,keşiş,köle,0.18333333329999998,0.18333333329999998,0.13165172934532166
92,93,palto,ceket,0.8,0.8,0.7109633684158325
93,94,oksijen,su,0.7666666667,0.7666666667,0.3812310993671417
94,95,taşıt,tren,0.8166666667,0.8166666667,0.25266337394714355
95,96,kıyı,tepe,0.4083333333,0.4083333333,0.22809961438179016
96,97,adalet,vicdan,0.65,0.65,0.5150173902511597
97,98,rahatsız,alışkın,0.44166666670000004,0.44166666670000004,0.3020493984222412
99,100,hayat,fani,0.7083333332999999,0.7083333332999999,0.2631417512893677
100,101,ıslak,deniz,0.6666666667000001,0.6666666667000001,0.17051006853580475
102,103,din,vicdan,0.5416666667000001,0.5416666667000001,0.3978253901004791
103,104,brüt,çamaşır,0.008333333299999999,0.008333333299999999,0.0792282372713089
104,105,tıknaz,şiddetli,0.0166666667,0.0166666667,0.04041791707277298
106,107,cenin,kuyumcu,0.008333333299999999,0.008333333299999999,-0.027878833934664726
107,108,gözlükçü,gözlük,0.875,0.875,0.21136893332004547
109,110,bilişim,sebze,0.0166666667,0.0166666667,0.012360898777842522
112,113,zarar,kazanç,0.8416666666999999,0.8416666666999999,0.3045220673084259
113,114,kuş,turna,0.7833333333,0.7833333333,0.4162887632846832
114,115,brüt,kesintili,0.6363636364,0.6363636364,0.08167604357004166
115,116,borçlanmak,faiz,0.6416666667,0.6416666667,0.21094512939453125
116,117,zaman,öğle,0.7333333333,0.7333333333,0.25665283203125
117,118,mücevher,sicim,0.1,0.1,0.034285932779312134
118,119,külot,aile,0.025,0.025,-0.043889369815588
121,122,yoldaş,delikanlı,0.2333333333,0.2333333333,0.22923879325389862
122,123,ıslak,serin,0.5,0.5,0.42212802171707153
123,124,barınak,tımarhane,0.10833333329999999,0.10833333329999999,0.08660905063152313
124,125,zarar,kadın,0.0416666667,0.0416666667,0.14342497289180756
125,126,atletik,avare,0.0166666667,0.0166666667,0.037172865122556686
127,128,peynir,karton,0.0416666667,0.0416666667,0.2331719696521759
128,129,süreli,süresiz,0.8583333333000001,0.8583333333000001,0.4195464253425598
129,130,tutsak,özgür,0.8666666666999999,0.8666666666999999,0.3865889608860016
130,131,gevşek,heykel,0.0166666667,0.0166666667,0.0323115810751915
132,133,yiyecek,sos,0.7166666667,0.7166666667,0.25705015659332275
133,134,modernite,ilkellik,0.6,0.6,0.3241032361984253
134,135,keşiş,kahin,0.525,0.525,0.3192265033721924
135,136,turna,uygulamak,0.008333333299999999,0.008333333299999999,-0.09180489927530289
136,137,ormanlık,fotoğraf,0.25,0.25,0.07095346599817276
139,140,masum,kuşku,0.475,0.475,0.13655558228492737
140,141,delikanlı,büyücü,0.0166666667,0.0166666667,0.3282775580883026
141,142,uzun,atletik,0.5916666667,0.5916666667,0.18267281353473663
142,143,deniz,sahil,0.8666666666999999,0.8666666666999999,0.6257718801498413
143,144,orman,meyve,0.6166666667,0.6166666667,0.3376893699169159
144,145,hayat,nefes,0.7583333333,0.7583333333,0.4140373170375824
145,146,mızrap,tabure,0.05,0.05,0.13296085596084595
146,147,sıcak,ısınmış,0.8333333333,0.8333333333,0.30559468269348145
147,148,gülüş,gülümseme,0.9166666667,0.9166666667,0.540723443031311
149,150,hukuk,hayat,0.21666666669999998,0.21666666669999998,0.23667389154434204
151,152,kamyon,manken,0.0166666667,0.0166666667,0.055871713906526566
152,153,terazi,adalet,0.6833333333,0.6833333333,0.15089912712574005
154,155,uzak,yakın,0.925,0.925,0.4807968735694885
155,156,dükkan,vitrin,0.7545454545,0.7545454545,0.34915393590927124
156,157,nefes,oksijen,0.8166666667,0.8166666667,0.46810898184776306
157,158,enginar,boza,0.3083333333,0.3083333333,0.21403859555721283
158,159,giysi,külot,0.6916666667,0.6916666667,0.2888757884502411
160,161,sahil,ormanlık,0.375,0.375,0.41394299268722534
162,163,siyah,petrol,0.5833333332999999,0.5833333332999999,0.11803046613931656
163,164,haşarı,enerjik,0.575,0.575,0.19162681698799133
164,165,teizm,müzik,0.025,0.025,-0.05051151663064957
165,166,para,faiz,0.6666666667000001,0.6666666667000001,0.4224240183830261
168,169,alkol,viski,0.8833333333000001,0.8833333333000001,0.3946544826030731
170,171,horoz,tavuk,0.9,0.9,0.31221961975097656
171,172,çerçeve,fotoğraf,0.85,0.85,0.28772538900375366
172,173,süt,lokanta,0.3416666667,0.3416666667,0.1868518441915512
173,174,tahta,tabure,0.6583333333,0.6583333333,0.30118438601493835
174,175,kağıt,karton,0.7833333333,0.7833333333,0.7139698266983032
175,176,varlık,para,0.7666666667,0.7666666667,0.2662888467311859
177,178,eksik,ilaç,0.033333333300000004,0.033333333300000004,0.15710392594337463
178,179,eşya,cisim,0.7,0.7,0.10935883224010468
179,180,haber,uzun,0.0916666667,0.0916666667,0.2325192242860794
181,182,pamuk,giysi,0.7,0.7,0.3919486403465271
182,183,hamile,cenin,0.7916666667000001,0.7916666667000001,0.2414167821407318
184,185,süt,yoğurt,0.85,0.85,0.731252908706665
185,186,cansız,enerjik,0.7,0.7,0.12475155293941498
186,187,sahil,kum,0.8583333333000001,0.8583333333000001,0.3314224183559418
187,188,ses,mızrap,0.5833333332999999,0.5833333332999999,-0.05969459190964699
189,190,bitki,çiçek,0.7916666667000001,0.7916666667000001,0.4466753900051117
190,191,seyahat,sefer,0.8166666667,0.8166666667,0.35809341073036194
191,192,yardım,aile,0.425,0.425,0.32417869567871094
192,193,petrol,yakıt,0.9,0.9,0.4353479743003845
193,194,şair,modernite,0.2083333333,0.2083333333,0.06979120522737503
194,195,gevşek,sıkı,0.9166666667,0.9166666667,0.4378437101840973
195,196,cihaz,lamba,0.6083333333,0.6083333333,0.2958296239376068
196,197,din,devlet,0.6166666667,0.6166666667,0.432490736246109
198,199,nezle,yorgunluk,0.5583333333,0.5583333333,0.37120601534843445
199,200,cevher,fotoğraf,0.0166666667,0.0166666667,-0.02140382118523121
200,201,uzak,karınca,0.0166666667,0.0166666667,0.04092835634946823
201,202,üşengeç,ebleh,0.225,0.225,0.25112757086753845
203,204,bilimci,karışık,0.10833333329999999,0.10833333329999999,-0.006280386820435524
204,205,medya,sevgili,0.125,0.125,0.2404889315366745
206,207,kırmızı,okul,0.008333333299999999,0.008333333299999999,0.11816465109586716
208,209,okul,kitaplıklar,0.75,0.75,0.035482700914144516
210,211,kadeh,bıçak,0.4666666667,0.4666666667,0.19075381755828857
211,212,özgür,haber,0.6,0.6,0.28234797716140747
212,213,palto,kapüşon,0.75,0.75,0.29911890625953674
213,214,ibadet,namaz,0.8333333333,0.8333333333,0.6338214874267578
214,215,soyut,somut,0.925,0.925,0.5106157660484314
216,217,taşıt,kamyon,0.8416666666999999,0.8416666666999999,0.4304754436016083
217,218,tren,yakıt,0.7416666667,0.7416666667,0.24809281527996063
218,219,yoldaş,keşiş,0.375,0.375,0.13575893640518188
219,220,horoz,sefer,0.0166666667,0.0166666667,0.09569403529167175
220,221,tabure,çerçeve,0.075,0.075,0.19723187386989594
221,222,kordon,gülümseme,0.008333333299999999,0.008333333299999999,-0.10322480648756027
222,223,zeki,akıllı,0.8666666666999999,0.8666666666999999,0.3174067437648773
224,225,nezle,ilaç,0.75,0.75,0.2774379253387451
225,226,ilaç,çare,0.825,0.825,0.41534990072250366
226,227,devlet,para,0.6416666667,0.6416666667,0.36060672998428345
229,230,evrensel,bilimci,0.3083333333,0.3083333333,0.17432059347629547
230,231,barınak,soğuk,0.3666666667,0.3666666667,0.16337119042873383
231,232,ilaç,yakıt,0.15,0.15,0.2131044566631317
234,235,devlet,memur,0.7,0.7,0.4600916802883148
235,236,alkol,sofra,0.55,0.55,0.20244283974170685
236,237,boza,manken,0.0166666667,0.0166666667,-0.01415934320539236
237,238,cevher,gözlükçü,0.025,0.025,-0.008333482779562473
238,239,anne,memur,0.0666666667,0.0666666667,0.21291548013687134
239,240,oğlan,ilkellik,0.0416666667,0.0416666667,-0.0015060522127896547
241,242,dua,yüzük,0.0583333333,0.0583333333,0.12237836420536041
242,243,opak,geçirgen,0.6916666667,0.6916666667,0.34693941473960876
243,244,akıllı,deli,0.9166666667,0.9166666667,0.16721919178962708
244,245,din,dua,0.8583333333000001,0.8583333333000001,0.3266204297542572
245,246,saydam,süreli,0.075,0.075,0.0322849340736866
246,247,yağcılık,heykel,0.0166666667,0.0166666667,-0.012527408078312874
248,249,oksijen,hayat,0.8,0.8,0.19321252405643463
249,250,hastane,çare,0.7583333333,0.7583333333,0.22194072604179382
250,251,içki,boza,0.3583333333,0.3583333333,0.19231173396110535
251,252,tahta,ahşap,0.825,0.825,0.5471946597099304
252,253,kral,yağcılık,0.45,0.45,-0.014659693464636803
254,255,kordon,sicim,0.3916666667,0.3916666667,0.18065088987350464
255,256,fani,adalet,0.0833333333,0.0833333333,0.057410407811403275
256,257,ikindi,oğlan,0.008333333299999999,0.008333333299999999,0.1440291553735733
259,260,kırmızı,namaz,0.008333333299999999,0.008333333299999999,0.05355127900838852
261,262,ekonomi,para,0.8583333333000001,0.8583333333000001,0.3515438735485077
262,263,dua,namaz,0.8583333333000001,0.8583333333000001,0.5877705812454224
264,265,enerjik,yorgun,0.8666666666999999,0.8666666666999999,0.48292276263237
265,266,kağıt,gazete,0.7583333333,0.7583333333,0.3463281989097595
266,267,cihaz,radyo,0.7,0.7,0.33183553814888
269,270,öğrenci,hayta,0.49166666670000003,0.49166666670000003,-0.03241267427802086
270,271,araba,petrol,0.7916666667000001,0.7916666667000001,0.13830822706222534
271,272,şiddetli,sarsıcı,0.8,0.8,0.26251786947250366
272,273,su,deniz,0.825,0.825,0.44712841510772705
275,276,kan,kırmızı,0.8333333333,0.8333333333,0.26086488366127014
276,277,beyaz,papatya,0.6666666667000001,0.6666666667000001,0.24982888996601105
277,278,kıyı,ormanlık,0.4,0.4,0.3872183561325073
278,279,orman,kabristan,0.3166666667,0.3166666667,-0.011417942121624947
280,281,normalleşiyor,ısınmış,0.0416666667,0.0416666667,0.07621375471353531
281,282,radyo,müzik,0.7583333333,0.7583333333,0.6097026467323303
282,283,suçlu,masum,0.8583333333000001,0.8583333333000001,0.4613613486289978
286,287,televizyon,cenin,0.0166666667,0.0166666667,-0.04306604340672493
287,288,pimpirikli,bıçak,0.05,0.05,-0.1048787459731102
288,289,mezarlık,ormanlık,0.325,0.325,0.3405214846134186
289,290,mutluluk,harika,0.5416666667000001,0.5416666667000001,0.3303698003292084
290,291,hastane,rahatsız,0.65,0.65,0.14417459070682526
