,QID,word1,word2,rel,sim,simPredict
0,1,mızrap,barınak,0.008333333299999999,0.008333333299999999,0.2669826149940491
1,2,kırmızı,gül,0.7166666667,0.7166666667,0.3000791370868683
2,3,suçlu,şüphe,0.7,0.7,0.42628878355026245
4,5,bitki,zeytin,0.675,0.675,0.48499178886413574
5,6,serin,soğuk,0.8833333333000001,0.8833333333000001,0.6350359320640564
6,7,gül,pamuk,0.3583333333,0.3583333333,0.27013522386550903
7,8,içki,alkol,0.9083333333000001,0.9083333333000001,0.6486042737960815
8,9,köle,serbest,0.65,0.65,0.12793076038360596
9,10,saray,pıhtı,0.0166666667,0.0166666667,-0.02841350995004177
11,12,sofra,zeytin,0.7166666667,0.7166666667,0.3995627164840698
12,13,eşya,gözlük,0.6,0.6,0.4158906638622284
13,14,meslek,mühendis,0.6916666667,0.6916666667,0.20305389165878296
15,16,peynir,ipek,0.05,0.05,0.25095334649086
16,17,turizm,seyahat,0.825,0.825,0.29540035128593445
17,18,tıknaz,uyumlu,0.0833333333,0.0833333333,0.15358980000019073
19,20,polis,yardım,0.7583333333,0.7583333333,0.17083700001239777
20,21,gürültü,otobüs,0.5,0.5,0.20014016330242157
21,22,temiz,titiz,0.9166666667,0.9166666667,0.3324926495552063
22,23,kitaplıklar,kitap,0.875,0.875,0.09295697510242462
23,24,böcek,karınca,0.7333333333,0.7333333333,0.6236692667007446
24,25,gazete,kitap,0.7166666667,0.7166666667,0.43702617287635803
25,26,okul,kordon,0.10833333329999999,0.10833333329999999,0.08099322021007538
26,27,ibadet,oruç,0.825,0.825,0.4907427132129669
27,28,varlık,hayvan,0.55,0.55,0.27898794412612915
28,29,tüketim,üretim,0.85,0.85,0.6353062391281128
29,30,sihirbaz,büyücü,0.7333333333,0.7333333333,0.6320280432701111
30,31,giysi,gömlek,0.7416666667,0.7416666667,0.6934625506401062
31,32,hayvan,tavuk,0.725,0.725,0.4628238081932068
32,33,sevgili,çiçek,0.65,0.65,0.2835809588432312
33,34,turizm,ekonomi,0.5833333332999999,0.5833333332999999,0.4510047137737274
34,35,eski,yeni,0.9,0.9,0.19436396658420563
35,36,yüzük,sevgili,0.6083333333,0.6083333333,0.22060157358646393
37,38,bilimci,faiz,0.033333333300000004,0.033333333300000004,-0.22045215964317322
38,39,gündüz,öğle,0.8166666667,0.8166666667,0.4038892984390259
39,40,otomobil,taksi,0.8583333333000001,0.8583333333000001,0.33517080545425415
40,41,çare,sos,0.125,0.125,0.08285993337631226
41,42,evrensel,sos,0.0916666667,0.0916666667,-0.07981578260660172
42,43,viski,varlık,0.0833333333,0.0833333333,-0.09208720177412033
44,45,sebze,enginar,0.725,0.725,0.5822119116783142
45,46,damar,rahatsız,0.375,0.375,0.13424529135227203
47,48,bitki,sebze,0.7333333333,0.7333333333,0.5291261672973633
48,49,zarar,tımarhane,0.10833333329999999,0.10833333329999999,0.10106195509433746
49,50,kelebek,eski,0.008333333299999999,0.008333333299999999,-0.026590704917907715
50,51,zaman,gündüz,0.7166666667,0.7166666667,0.1020415797829628
51,52,meslek,polis,0.7083333332999999,0.7083333332999999,0.1947798728942871
52,53,su,yağmur,0.8,0.8,0.3371492922306061
53,54,nefes,soyut,0.0833333333,0.0833333333,0.09751477092504501
54,55,yedigen,aykırı,0.0416666667,0.0416666667,-0.054713066667318344
56,57,fotoğraf,karton,0.3833333333,0.3833333333,0.2920905351638794
57,58,tutsak,serbest,0.8416666666999999,0.8416666666999999,0.19886046648025513
58,59,fazlalık,ısınmış,0.1333333333,0.1333333333,0.4589923322200775
61,62,serbest,radyo,0.1727272727,0.1727272727,0.10313236713409424
62,63,uzun,tıknaz,0.43333333329999996,0.43333333329999996,0.18424281477928162
63,64,kan,pıhtı,0.7833333333,0.7833333333,0.39404964447021484
69,70,kum,karınca,0.45,0.45,0.4477848708629608
70,71,tutsak,köle,0.925,0.925,0.5018168091773987
71,72,kazanç,aykırı,0.0666666667,0.0666666667,0.11830262094736099
72,73,içki,viski,0.8583333333000001,0.8583333333000001,0.4472953975200653
74,75,mutfak,kahvaltı,0.7083333332999999,0.7083333332999999,0.4530804753303528
75,76,çamaşır,külot,0.8,0.8,0.3209146559238434
76,77,yorgun,yorgunluk,0.8916666666999999,0.8916666666999999,0.306283563375473
77,78,transparan,kemik,0.0583333333,0.0583333333,0.35346323251724243
78,79,muz,yoğurt,0.3416666667,0.3416666667,0.6912184357643127
