,engWord1,engWord2,simEng,word1,word2,sim,simPredict
0,cord,smile,0.005,kordon,gülümseme,0.005,-0.10322480648756027
1,rooster,voyage,0.01,horoz,seyahat,0.01,-0.007993998937308788
2,noon,string,0.01,öğlen,ip,0.01,-0.0007168882875703275
3,fruit,furnace,0.0125,meyve,fırın,0.0125,0.23457494378089905
4,autograph,shore,0.015,imza,sahil,0.015,0.09717787802219391
5,automobile,wizard,0.0275,otomobil,sihirbaz,0.0275,-0.0814456194639206
6,mound,stove,0.035,höyük,soba,0.035,-0.03819387033581734
8,asylum,fruit,0.0475,sığınak,meyve,0.0475,0.0011061052791774273
9,asylum,monk,0.0975,sığınak,keşiş,0.0975,0.15404781699180603
10,graveyard,madhouse,0.105,mezarlık,tımarhane,0.105,0.26967060565948486
11,glass,magician,0.11,cam,sihirbaz,0.11,-0.015271095559000969
12,boy,rooster,0.11,oğlan,horoz,0.11,0.32274389266967773
13,cushion,jewel,0.1125,yastık,mücevher,0.1125,0.18486671149730682
14,monk,slave,0.1425,keşiş,köle,0.1425,0.13165172934532166
15,asylum,cemetery,0.1975,sığınak,mezarlık,0.1975,0.25415828824043274
16,coast,forest,0.2125,sahil,orman,0.2125,0.36997222900390625
18,shore,woodland,0.225,kıyı,ormanlık,0.225,0.3872183561325073
19,monk,oracle,0.2275,keşiş,kahin,0.2275,0.3192265033721924
20,boy,sage,0.24,erkek,bilge,0.24,0.1961977630853653
21,automobile,cushion,0.2425,otomobil,yastık,0.2425,0.02463257499039173
22,mound,shore,0.2425,höyük,kıyı,0.2425,0.10592931509017944
23,lad,wizard,0.2475,delikanlı,sihirbaz,0.2475,0.17871655523777008
24,forest,graveyard,0.25,orman,mezarlık,0.25,0.2651258707046509
25,food,rooster,0.2725,yemek,horoz,0.2725,0.10152909904718399
26,cemetery,woodland,0.295,mezarlık,ormanlık,0.295,0.3405214846134186
27,shore,voyage,0.305,kıyı,yolculuk,0.305,0.17386336624622345
28,bird,woodland,0.31,kuş,ormanlık,0.31,0.2590295076370239
29,coast,hill,0.315,sahil,tepe,0.315,0.27258312702178955
30,furnace,implement,0.3425,fırın,alet,0.3425,0.18627673387527466
31,crane,rooster,0.3525,turna,horoz,0.3525,0.2724134027957916
32,hill,woodland,0.37,tepe,ormanlık,0.37,0.3336145579814911
33,car,journey,0.3875,araba,yolculuk,0.3875,0.3851955235004425
34,cemetery,mound,0.4225,mezarlık,höyük,0.4225,0.298673540353775
35,glass,jewel,0.445,cam,mücevher,0.445,0.2986465394496918
36,magician,oracle,0.455,büyücü,kahin,0.455,0.3892423212528229
37,crane,implement,0.5925,vinç,uygulama,0.5925,0.08187281340360641
38,brother,lad,0.6025,kardeş,delikanlı,0.6025,0.3210912346839905
39,sage,wizard,0.615,bilge,sihirbaz,0.615,0.17082689702510834
40,oracle,sage,0.6525,kahin,bilge,0.6525,0.259660005569458
41,bird,crane,0.6575,kuş,turna,0.6575,0.4162887632846832
42,bird,cock,0.6575,kuş,horoz,0.6575,0.32487577199935913
43,food,fruit,0.6725,gıda,meyve,0.6725,0.5037744045257568
44,brother,monk,0.685,kardeş,keşiş,0.685,0.03736097738146782
45,asylum,madhouse,0.76,sığınak,tımarhane,0.76,0.02013210952281952
46,furnace,stove,0.7775,fırın,soba,0.7775,0.40689465403556824
47,magician,wizard,0.8025,sihirbaz,büyücü,0.8025,0.5000118017196655
48,hill,mound,0.8225,tepe,höyük,0.8225,0.3954865038394928
49,cord,string,0.8525,kordon,ip,0.8525,0.184210404753685
50,glass,tumbler,0.8625,cam,bardak,0.8625,0.4447968900203705
52,serf,slave,0.865,kul,köle,0.865,0.40017274022102356
53,journey,voyage,0.895,seyahat,yolculuk,0.895,0.6839814186096191
54,autograph,signature,0.8975,imza,imza,0.25,0.9999999403953552
55,coast,shore,0.9,sahil,kıyı,0.9,0.7327497601509094
56,forest,woodland,0.9125,orman,ormanlık,0.9125,0.555493175983429
57,implement,tool,0.915,alet,araç,0.915,0.29894551634788513
58,cock,rooster,0.92,horoz,horoz,0.25,1.0
59,boy,lad,0.955,oğlan,delikanlı,0.955,0.6785438060760498
60,cushion,pillow,0.96,yastık,yastık,0.25,1.0
61,cemetery,graveyard,0.97,kabristan,mezarlık,0.97,0.47036102414131165
62,automobile,car,0.98,otomobil,araba,0.98,0.6784125566482544
63,midday,noon,0.985,öğlen,öğlen,0.25,1.0
64,gem,jewel,0.985,takı,mücevher,0.985,0.6862919330596924
