,word1,word2,sim,simPredict
0,kitaplardan,hikayelerden,0.5861,0.6618964672088623
1,kitaplardan,kasaplardan,0.1278,0.35959240794181824
2,kitaplarım,romanlarım,0.7611,0.7176798582077026
4,saatlerce,dakikalarca,0.6583,0.7669567465782166
5,okumuştum,konuşmuştum,0.4194,0.4983205497264862
6,kitaplarımızın,hikayelerimizin,0.6194,0.6485629677772522
8,gidiyorlardı,seviyorlardı,0.25830000000000003,0.5415620803833008
10,yazılardan,kazılardan,0.2528,0.464900940656662
12,eğitmenlerimiz,öğretmenlerimiz,0.8111,0.6740883588790894
13,yürüdüm,koştum,0.6111,0.6918002367019653
15,kağıtları,kalemleri,0.5861,0.43617382645606995
16,yaşıtlarından,akranlarından,0.9667,0.7558777332305908
17,yeşillikler,kırmızılıklar,0.5667,0.32787540555000305
18,evlere,eklere,0.1722,0.2727271616458893
19,kapaklarımızı,yanaklarımızı,0.1583,0.626088559627533
20,derslerimizde,kafeslerimizde,0.13999999999999999,0.41158562898635864
21,yolculuklarında,uykularında,0.2,0.41898438334465027
22,koltuklarında,okullarında,0.1543,0.314735472202301
23,sevinçliydim,mutluydum,0.8805999999999999,0.7506015300750732
24,geldiklerinde,gittiklerinde,0.6389,0.801013171672821
25,bitkilerdeki,çiçeklerdeki,0.7361,0.6947418451309204
26,yazmışlardı,yürümüşlerdi,0.2333,0.48181968927383423
27,okudular,yazdılar,0.5778,0.5962323546409607
29,yıllardır,saatlerdir,0.5139,0.434914767742157
30,yazıyorlardı,okuyorlardı,0.5417,0.6799004077911377
31,kedilerimizin,kuşlarımızın,0.5027999999999999,0.8118760585784912
32,otomobillere,lastiklere,0.5194,0.503901481628418
33,gururundan,onurundan,0.7972,0.7095246911048889
34,şirketlerde,firmalarda,0.8722,0.7891674041748047
37,koltuklar,sandalyeler,0.6416999999999999,0.6836912631988525
40,kitapçıklarda,broşürlerde,0.7472000000000001,0.6355516314506531
41,bilgisayarların,perdelerin,0.1444,0.3583091199398041
42,kedilerin,kuşların,0.5,0.6331924796104431
46,evlerinde,okullarında,0.4222,0.5531373620033264
47,bitiriyordum,çeviriyordum,0.2556,0.6568138599395752
48,yazmışlardı,çizmişlerdi,0.5667,0.636605978012085
49,sevincimiz,mutluluğumuz,0.9,0.7249900102615356
51,bilgimizin,sevgimizin,0.2556,0.46068087220191956
52,fiyatlandırmak,ücretlendirmek,0.9111,0.7529740333557129
53,çiçeklerin,saksıların,0.6172,0.693093478679657
58,fincanlarda,bardaklarda,0.7107,0.7416120767593384
60,kızdılar,sinirlendiler,0.8897,0.5913224220275879
61,çizdim,boyadım,0.6103,0.5799552798271179
63,yazdıklarımız,tanıdıklarımız,0.1759,0.4904402792453766
64,ışıkların,lambaların,0.7931,0.7398560643196106
65,arabaların,kamyonların,0.6793,0.7178238034248352
66,çocukların,yetişkinlerin,0.6241,0.8298667073249817
67,camları,pencereleri,0.7793,0.6179133057594299
68,oyuncaklar,salıncaklar,0.5345,0.6055701375007629
69,paralar,kasalar,0.5586,0.456175297498703
70,kıyafetlerimiz,giysilerimiz,0.9586,0.8864220976829529
71,paketler,maketler,0.24830000000000002,0.30401256680488586
72,camlarda,perdelerde,0.5345,0.5340486168861389
73,saatlerin,dakikaların,0.6207,0.6141292452812195
74,binalarda,evlerde,0.6828000000000001,0.6877562403678894
75,kulakların,kapakların,0.1655,0.45149871706962585
76,yıldızın,güneşin,0.6103,0.5143954753875732
77,sattılar,kattılar,0.1966,0.4666028916835785
78,emretti,buyurdu,0.9069,0.5612622499465942
79,yaptıklarımızın,aldıklarımızın,0.3,0.6641683578491211
80,yıktı,yıkadı,0.16899999999999998,0.40882062911987305
81,metallerin,demirlerin,0.6799999999999999,0.5534957647323608
82,televizyonlarda,radyolarda,0.572,0.659103512763977
83,yedikten,içtikten,0.584,0.6680371761322021
84,coştular,koştular,0.3,0.5850757360458374
85,konuştular,söylediler,0.8,0.5742139220237732
86,temizlediler,eklediler,0.152,0.4432399272918701
87,ellerimiz,avuçlarımız,0.6719999999999999,0.6642436385154724
88,camları,çerçeveleri,0.608,0.4937054514884949
89,taşıdılar,kazıdılar,0.184,0.5265077948570251
90,kitaplarımız,defterlerimiz,0.596,0.6713607907295227
91,şekerlikler,tuzluklar,0.6042,0.5300888419151306
92,kalabalıklar,balıklar,0.152,0.390801340341568
94,geceleyin,gündüzleyin,0.632,0.6697438359260559
95,çalıştılar,yaklaştılar,0.2,0.5467197299003601
96,açtılar,kapattılar,0.648,0.7266224026679993
97,yarasanın,yasanın,0.124,0.30169111490249634
98,karanlıktan,aydınlıktan,0.6599999999999999,0.7986035943031311
99,şehirdeyim,deyimler,0.10800000000000001,0.13744685053825378
100,doktorların,öğretmenlerin,0.42800000000000005,0.5602894425392151
101,kamyonların,traktörlerin,0.5833,0.6714754104614258
102,halılardan,kilimlerden,0.72,0.7883729338645935
103,kütüphanelerde,kitaplarda,0.628,0.5795702934265137
104,yazdılar,sildiler,0.6,0.45318108797073364
105,mühendisler,doktorlar,0.484,0.5733110904693604
106,içtiler,kestiler,0.172,0.43245142698287964
107,kapıların,pencerelerin,0.532,0.7262529730796814
108,yaşlılığımızda,gençliğimizde,0.6599999999999999,0.628461480140686
109,başardı,yakardı,0.13999999999999999,0.2681487500667572
110,resimlerde,kesimlerde,0.148,0.31170353293418884
111,firarda,zararda,0.144,0.1757238358259201
112,ailelerin,kalelerin,0.144,0.3438745439052582
113,okuduklarımız,koyduklarımız,0.13999999999999999,0.595453143119812
114,toplantıları,saplantıları,0.128,0.33996397256851196
115,gençliğimizde,çocukluğumuzda,0.62,0.7449427247047424
117,pantolonlarımız,elbiselerimiz,0.548,0.8037371039390564
118,bisikletleri,arabaları,0.508,0.5824803113937378
121,tahtaların,çantaların,0.188,0.39190247654914856
122,tırnakların,ellerin,0.564,0.5741041898727417
