,word1,word2,sim,simPredict
0,kitaplardan,hikayelerden,0.5861,0.579310417175293
4,saatlerce,dakikalarca,0.6583,0.4356347620487213
8,gidiyorlardı,seviyorlardı,0.25830000000000003,0.07875633239746094
10,yazılardan,kazılardan,0.2528,0.5027564167976379
13,yürüdüm,koştum,0.6111,0.4650195240974426
15,kağıtları,kalemleri,0.5861,0.3425750732421875
16,yaşıtlarından,akranlarından,0.9667,0.4453098177909851
18,evlere,eklere,0.1722,0.1828874945640564
21,yolculuklarında,uykularında,0.2,0.18690909445285797
22,koltuklarında,okullarında,0.1543,0.06828764081001282
24,geldiklerinde,gittiklerinde,0.6389,0.6923516988754272
27,okudular,yazdılar,0.5778,0.38664671778678894
29,yıllardır,saatlerdir,0.5139,-0.09495016932487488
30,yazıyorlardı,okuyorlardı,0.5417,0.38202160596847534
32,otomobillere,lastiklere,0.5194,0.45734041929244995
34,şirketlerde,firmalarda,0.8722,0.7717810273170471
37,koltuklar,sandalyeler,0.6416999999999999,0.5864959955215454
40,kitapçıklarda,broşürlerde,0.7472000000000001,0.3367486596107483
41,bilgisayarların,perdelerin,0.1444,0.2857763171195984
42,kedilerin,kuşların,0.5,0.715038537979126
46,evlerinde,okullarında,0.4222,0.38200831413269043
51,bilgimizin,sevgimizin,0.2556,0.0435258150100708
61,çizdim,boyadım,0.6103,0.3373417556285858
64,ışıkların,lambaların,0.7931,0.6068304777145386
65,arabaların,kamyonların,0.6793,0.6174181699752808
66,çocukların,yetişkinlerin,0.6241,0.6058961153030396
67,camları,pencereleri,0.7793,0.6549832820892334
68,oyuncaklar,salıncaklar,0.5345,0.22979384660720825
69,paralar,kasalar,0.5586,0.38652321696281433
71,paketler,maketler,0.24830000000000002,0.15362755954265594
72,camlarda,perdelerde,0.5345,0.24756194651126862
73,saatlerin,dakikaların,0.6207,0.2622814476490021
74,binalarda,evlerde,0.6828000000000001,0.7120789289474487
75,kulakların,kapakların,0.1655,0.4056028425693512
76,yıldızın,güneşin,0.6103,0.6519998908042908
77,sattılar,kattılar,0.1966,0.3325918912887573
78,emretti,buyurdu,0.9069,0.4605681598186493
80,yıktı,yıkadı,0.16899999999999998,0.18713721632957458
81,metallerin,demirlerin,0.6799999999999999,0.31368210911750793
82,televizyonlarda,radyolarda,0.572,0.6931356191635132
83,yedikten,içtikten,0.584,0.8768844604492188
85,konuştular,söylediler,0.8,0.2843368351459503
86,temizlediler,eklediler,0.152,0.2209514081478119
88,camları,çerçeveleri,0.608,0.3072989881038666
92,kalabalıklar,balıklar,0.152,0.277133584022522
95,çalıştılar,yaklaştılar,0.2,0.34043246507644653
96,açtılar,kapattılar,0.648,0.35729703307151794
97,yarasanın,yasanın,0.124,-0.0387076698243618
98,karanlıktan,aydınlıktan,0.6599999999999999,0.26775071024894714
100,doktorların,öğretmenlerin,0.42800000000000005,0.5077669024467468
101,kamyonların,traktörlerin,0.5833,0.38588014245033264
103,kütüphanelerde,kitaplarda,0.628,0.5672891139984131
104,yazdılar,sildiler,0.6,0.21977220475673676
105,mühendisler,doktorlar,0.484,0.3752829134464264
106,içtiler,kestiler,0.172,0.17589981853961945
107,kapıların,pencerelerin,0.532,0.6634423136711121
109,başardı,yakardı,0.13999999999999999,0.05771175026893616
110,resimlerde,kesimlerde,0.148,0.2603234648704529
111,firarda,zararda,0.144,0.08885118365287781
112,ailelerin,kalelerin,0.144,0.3022500276565552
114,toplantıları,saplantıları,0.128,-0.005424817092716694
118,bisikletleri,arabaları,0.508,0.41668185591697693
121,tahtaların,çantaların,0.188,0.4207359850406647
122,tırnakların,ellerin,0.564,0.5220748782157898
124,kızların,erkeklerin,0.6679999999999999,0.6839352250099182
125,yaparken,sayarken,0.244,0.04952874034643173
126,derslerde,sınıflarda,0.692,0.5218508243560791
128,bitkilerin,etkilerin,0.13999999999999999,0.5183351635932922
129,merdivenleri,eldivenleri,0.136,0.12482567876577377
132,okullarda,hastanelerde,0.376,0.5540992617607117
133,kalabalık,salatalık,0.128,0.009555193595588207
136,yapraklar,taraklar,0.136,0.5238026976585388
